|dates|Newaygo_Michigan_UnitedStates.JHU_ConfirmedCases.data|Newaygo_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Newaygo_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Newaygo_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Newaygo_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Newaygo_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|2.0|0|0.0|0|0.0|0
0|2020-03-27|1.0|0|0.0|0|0.0|0
0|2020-03-28|1.0|0|0.0|0|0.0|0
0|2020-03-29|1.0|0|0.0|0|0.0|0
0|2020-03-30|1.0|0|0.0|0|0.0|0
0|2020-03-31|1.0|0|0.0|0|0.0|0
0|2020-04-01|1.0|0|0.0|0|0.0|0
0|2020-04-02|2.0|0|0.0|0|0.0|0
0|2020-04-03|2.0|0|0.0|0|0.0|0
0|2020-04-04|2.0|0|0.0|0|0.0|0
0|2020-04-05|2.0|0|0.0|0|0.0|0
0|2020-04-06|2.0|0|0.0|0|0.0|0
0|2020-04-07|3.0|0|0.0|0|0.0|0
0|2020-04-08|3.0|0|0.0|0|0.0|0
0|2020-04-09|3.0|0|0.0|0|0.0|0
0|2020-04-10|4.0|0|0.0|0|0.0|0
0|2020-04-11|6.0|0|0.0|0|0.0|0
0|2020-04-12|6.0|0|0.0|0|0.0|0
0|2020-04-13|6.0|0|0.0|0|0.0|0
0|2020-04-14|7.0|0|0.0|0|0.0|0
0|2020-04-15|7.0|0|0.0|0|0.0|0
0|2020-04-16|7.0|0|0.0|0|0.0|0
0|2020-04-17|7.0|0|0.0|0|0.0|0
0|2020-04-18|7.0|0|0.0|0|0.0|0
0|2020-04-19|7.0|0|0.0|0|0.0|0
0|2020-04-20|7.0|0|0.0|0|0.0|0
0|2020-04-21|10.0|0|0.0|0|0.0|0
0|2020-04-22|12.0|0|0.0|0|0.0|0
0|2020-04-23|12.0|0|0.0|0|0.0|0
0|2020-04-24|13.0|0|0.0|0|0.0|0
0|2020-04-25|14.0|0|0.0|0|0.0|0
0|2020-04-26|15.0|0|0.0|0|0.0|0
0|2020-04-27|14.0|0|0.0|0|0.0|0
0|2020-04-28|16.0|0|0.0|0|0.0|0
0|2020-04-29|22.0|0|0.0|0|0.0|0
0|2020-04-30|22.0|0|0.0|0|0.0|0
0|2020-05-01|24.0|0|0.0|0|0.0|0
0|2020-05-02|26.0|0|0.0|0|0.0|0
0|2020-05-03|26.0|0|0.0|0|0.0|0
0|2020-05-04|28.0|0|0.0|0|0.0|0
0|2020-05-05|31.0|0|0.0|0|0.0|0
0|2020-05-06|32.0|0|0.0|0|0.0|0
0|2020-05-07|34.0|0|0.0|0|0.0|0
0|2020-05-08|34.0|0|0.0|0|0.0|0
0|2020-05-09|34.0|0|0.0|0|0.0|0
0|2020-05-10|34.0|0|0.0|0|0.0|0
0|2020-05-11|34.0|0|0.0|0|0.0|0
0|2020-05-12|36.0|0|0.0|0|0.0|0
0|2020-05-13|37.0|0|0.0|0|0.0|0
