|dates|Jessamine_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Jessamine_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Jessamine_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Jessamine_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Jessamine_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Jessamine_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|1.0|0|0.0|0|0.0|0
0|2020-03-27|1.0|0|0.0|0|0.0|0
0|2020-03-28|1.0|0|0.0|0|0.0|0
0|2020-03-29|10.0|0|0.0|0|0.0|0
0|2020-03-30|11.0|0|0.0|0|0.0|0
0|2020-03-31|13.0|0|0.0|0|0.0|0
0|2020-04-01|13.0|0|0.0|0|0.0|0
0|2020-04-02|13.0|0|0.0|0|0.0|0
0|2020-04-03|13.0|0|0.0|0|0.0|0
0|2020-04-04|15.0|0|0.0|0|0.0|0
0|2020-04-05|16.0|0|0.0|0|0.0|0
0|2020-04-06|16.0|0|0.0|0|0.0|0
0|2020-04-07|16.0|0|0.0|0|0.0|0
0|2020-04-08|16.0|0|0.0|0|0.0|0
0|2020-04-09|18.0|0|0.0|0|0.0|0
0|2020-04-10|18.0|0|0.0|0|0.0|0
0|2020-04-11|18.0|0|0.0|0|0.0|0
0|2020-04-12|26.0|0|0.0|0|0.0|0
0|2020-04-13|26.0|0|0.0|0|0.0|0
0|2020-04-14|28.0|0|0.0|0|0.0|0
0|2020-04-15|29.0|0|0.0|0|0.0|0
0|2020-04-16|30.0|0|0.0|0|0.0|0
0|2020-04-17|31.0|0|0.0|0|0.0|0
0|2020-04-18|33.0|0|0.0|0|0.0|0
0|2020-04-19|32.0|0|0.0|0|0.0|0
0|2020-04-20|32.0|0|0.0|0|0.0|0
0|2020-04-21|32.0|0|0.0|0|0.0|0
0|2020-04-22|31.0|0|0.0|0|0.0|0
0|2020-04-23|31.0|0|0.0|0|0.0|0
0|2020-04-24|31.0|0|0.0|0|0.0|0
0|2020-04-25|32.0|0|0.0|0|0.0|0
0|2020-04-26|34.0|0|0.0|0|0.0|0
0|2020-04-27|34.0|0|0.0|0|0.0|0
0|2020-04-28|37.0|0|0.0|0|0.0|0
0|2020-04-29|40.0|0|0.0|0|0.0|0
0|2020-04-30|41.0|0|0.0|0|0.0|0
0|2020-05-01|41.0|0|0.0|0|0.0|0
0|2020-05-02|40.0|0|0.0|0|0.0|0
0|2020-05-03|40.0|0|0.0|0|0.0|0
0|2020-05-04|40.0|0|0.0|0|0.0|0
0|2020-05-05|40.0|0|0.0|0|0.0|0
0|2020-05-06|40.0|0|0.0|0|0.0|0
0|2020-05-07|40.0|0|0.0|0|0.0|0
0|2020-05-08|41.0|0|0.0|0|0.0|0
0|2020-05-09|46.0|0|0.0|0|0.0|0
0|2020-05-10|46.0|0|0.0|0|0.0|0
0|2020-05-11|46.0|0|0.0|0|0.0|0
0|2020-05-12|49.0|0|0.0|0|0.0|0
0|2020-05-13|49.0|0|0.0|0|0.0|0
