|dates|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|5.0|0|0.0|0|0.0|0
0|2020-03-26|5.0|0|0.0|0|0.0|0
0|2020-03-27|5.0|0|0.0|0|0.0|0
0|2020-03-28|7.0|0|0.0|0|0.0|0
0|2020-03-29|11.0|0|0.0|0|0.0|0
0|2020-03-30|12.0|0|0.0|0|0.0|0
0|2020-03-31|19.0|0|0.0|0|0.0|0
0|2020-04-01|21.0|0|0.0|0|0.0|0
0|2020-04-02|23.0|0|0.0|0|0.0|0
0|2020-04-03|26.0|0|0.0|0|0.0|0
0|2020-04-04|27.0|0|0.0|0|0.0|0
0|2020-04-05|30.0|0|0.0|0|0.0|0
0|2020-04-06|32.0|0|0.0|0|0.0|0
0|2020-04-07|39.0|0|0.0|0|0.0|0
0|2020-04-08|43.0|0|0.0|0|0.0|0
0|2020-04-09|52.0|0|0.0|0|0.0|0
0|2020-04-10|57.0|0|0.0|0|0.0|0
0|2020-04-11|59.0|0|0.0|0|0.0|0
0|2020-04-12|64.0|0|0.0|0|0.0|0
0|2020-04-13|66.0|0|0.0|0|0.0|0
0|2020-04-14|69.0|0|0.0|0|0.0|0
0|2020-04-15|78.0|0|0.0|0|0.0|0
0|2020-04-16|80.0|0|0.0|0|0.0|0
0|2020-04-17|89.0|0|0.0|0|0.0|0
0|2020-04-18|106.0|0|0.0|0|0.0|0
0|2020-04-19|111.0|0|0.0|0|0.0|0
0|2020-04-20|115.0|0|0.0|0|0.0|0
0|2020-04-21|143.0|0|10.0|0|0.0|0
0|2020-04-22|152.0|0|10.0|0|0.0|0
0|2020-04-23|151.0|0|10.0|0|0.0|0
0|2020-04-24|164.0|0|10.0|0|0.0|0
0|2020-04-25|181.0|0|10.0|0|0.0|0
0|2020-04-26|205.0|0|2.0|0|0.0|0
0|2020-04-27|227.0|0|2.0|0|0.0|0
0|2020-04-28|237.0|0|4.0|0|0.0|0
0|2020-04-29|264.0|0|6.0|0|0.0|0
0|2020-04-30|284.0|0|6.0|0|0.0|0
0|2020-05-01|313.0|0|7.0|0|0.0|0
0|2020-05-02|325.0|0|8.0|0|0.0|0
0|2020-05-03|351.0|0|8.0|0|0.0|0
0|2020-05-04|377.0|0|8.0|0|0.0|0
0|2020-05-05|396.0|0|9.0|0|0.0|0
0|2020-05-06|406.0|0|9.0|0|0.0|0
0|2020-05-07|425.0|0|11.0|0|0.0|0
0|2020-05-08|452.0|0|11.0|0|0.0|0
0|2020-05-09|478.0|0|12.0|0|0.0|0
0|2020-05-10|493.0|0|12.0|0|0.0|0
0|2020-05-11|493.0|0|12.0|0|0.0|0
0|2020-05-12|522.0|0|12.0|0|0.0|0
0|2020-05-13|545.0|0|13.0|0|0.0|0
