|dates|Lauderdale_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Lauderdale_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Lauderdale_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Lauderdale_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Lauderdale_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Lauderdale_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|10.0|0|0.0|0|0.0|0
0|2020-03-28|12.0|0|0.0|0|0.0|0
0|2020-03-29|15.0|0|0.0|0|0.0|0
0|2020-03-30|15.0|0|0.0|0|0.0|0
0|2020-03-31|35.0|0|0.0|0|0.0|0
0|2020-04-01|39.0|0|0.0|0|0.0|0
0|2020-04-02|46.0|0|0.0|0|0.0|0
0|2020-04-03|50.0|0|0.0|0|0.0|0
0|2020-04-04|61.0|0|1.0|0|0.0|0
0|2020-04-05|65.0|0|2.0|0|0.0|0
0|2020-04-06|70.0|0|2.0|0|0.0|0
0|2020-04-07|78.0|0|3.0|0|0.0|0
0|2020-04-08|84.0|0|5.0|0|0.0|0
0|2020-04-09|99.0|0|5.0|0|0.0|0
0|2020-04-10|118.0|0|6.0|0|0.0|0
0|2020-04-11|133.0|0|8.0|0|0.0|0
0|2020-04-12|135.0|0|8.0|0|0.0|0
0|2020-04-13|150.0|0|8.0|0|0.0|0
0|2020-04-14|156.0|0|11.0|0|0.0|0
0|2020-04-15|165.0|0|12.0|0|0.0|0
0|2020-04-16|174.0|0|12.0|0|0.0|0
0|2020-04-17|181.0|0|13.0|0|0.0|0
0|2020-04-18|190.0|0|14.0|0|0.0|0
0|2020-04-19|202.0|0|14.0|0|0.0|0
0|2020-04-20|220.0|0|15.0|0|0.0|0
0|2020-04-21|232.0|0|17.0|0|0.0|0
0|2020-04-22|235.0|0|18.0|0|0.0|0
0|2020-04-23|249.0|0|18.0|0|0.0|0
0|2020-04-24|268.0|0|18.0|0|0.0|0
0|2020-04-25|284.0|0|19.0|0|0.0|0
0|2020-04-26|295.0|0|19.0|0|0.0|0
0|2020-04-27|304.0|0|19.0|0|0.0|0
0|2020-04-28|318.0|0|19.0|0|0.0|0
0|2020-04-29|334.0|0|19.0|0|0.0|0
0|2020-04-30|349.0|0|20.0|0|0.0|0
0|2020-05-01|365.0|0|23.0|0|0.0|0
0|2020-05-02|378.0|0|25.0|0|0.0|0
0|2020-05-03|380.0|0|26.0|0|0.0|0
0|2020-05-04|432.0|0|27.0|0|0.0|0
0|2020-05-05|436.0|0|33.0|0|0.0|0
0|2020-05-06|448.0|0|40.0|0|0.0|0
0|2020-05-07|450.0|0|40.0|0|0.0|0
0|2020-05-08|463.0|0|41.0|0|0.0|0
0|2020-05-09|471.0|0|42.0|0|0.0|0
0|2020-05-10|482.0|0|43.0|0|0.0|0
0|2020-05-11|482.0|0|43.0|0|0.0|0
0|2020-05-12|501.0|0|45.0|0|0.0|0
0|2020-05-13|523.0|0|45.0|0|0.0|0
