|dates|Dunklin_Missouri_UnitedStates.JHU_ConfirmedCases.data|Dunklin_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Dunklin_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Dunklin_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Dunklin_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Dunklin_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|2.0|0|0.0|0|0.0|0
0|2020-03-27|3.0|0|0.0|0|0.0|0
0|2020-03-28|3.0|0|0.0|0|0.0|0
0|2020-03-29|3.0|0|0.0|0|0.0|0
0|2020-03-30|6.0|0|0.0|0|0.0|0
0|2020-03-31|6.0|0|0.0|0|0.0|0
0|2020-04-01|6.0|0|0.0|0|0.0|0
0|2020-04-02|6.0|0|0.0|0|0.0|0
0|2020-04-03|6.0|0|0.0|0|0.0|0
0|2020-04-04|7.0|0|0.0|0|0.0|0
0|2020-04-05|7.0|0|0.0|0|0.0|0
0|2020-04-06|8.0|0|0.0|0|0.0|0
0|2020-04-07|8.0|0|0.0|0|0.0|0
0|2020-04-08|9.0|0|0.0|0|0.0|0
0|2020-04-09|9.0|0|0.0|0|0.0|0
0|2020-04-10|12.0|0|0.0|0|0.0|0
0|2020-04-11|13.0|0|0.0|0|0.0|0
0|2020-04-12|14.0|0|0.0|0|0.0|0
0|2020-04-13|16.0|0|0.0|0|0.0|0
0|2020-04-14|16.0|0|0.0|0|0.0|0
0|2020-04-15|17.0|0|0.0|0|0.0|0
0|2020-04-16|18.0|0|0.0|0|0.0|0
0|2020-04-17|18.0|0|2.0|0|0.0|0
0|2020-04-18|19.0|0|2.0|0|0.0|0
0|2020-04-19|19.0|0|2.0|0|0.0|0
0|2020-04-20|19.0|0|2.0|0|0.0|0
0|2020-04-21|19.0|0|2.0|0|0.0|0
0|2020-04-22|19.0|0|2.0|0|0.0|0
0|2020-04-23|19.0|0|2.0|0|0.0|0
0|2020-04-24|19.0|0|2.0|0|0.0|0
0|2020-04-25|19.0|0|2.0|0|0.0|0
0|2020-04-26|20.0|0|2.0|0|0.0|0
0|2020-04-27|20.0|0|2.0|0|0.0|0
0|2020-04-28|20.0|0|2.0|0|0.0|0
0|2020-04-29|21.0|0|2.0|0|0.0|0
0|2020-04-30|21.0|0|2.0|0|0.0|0
0|2020-05-01|21.0|0|2.0|0|0.0|0
0|2020-05-02|22.0|0|2.0|0|0.0|0
0|2020-05-03|23.0|0|2.0|0|0.0|0
0|2020-05-04|23.0|0|2.0|0|0.0|0
0|2020-05-05|24.0|0|2.0|0|0.0|0
0|2020-05-06|23.0|0|2.0|0|0.0|0
0|2020-05-07|23.0|0|2.0|0|0.0|0
0|2020-05-08|24.0|0|2.0|0|0.0|0
0|2020-05-09|24.0|0|2.0|0|0.0|0
0|2020-05-10|24.0|0|2.0|0|0.0|0
0|2020-05-11|24.0|0|2.0|0|0.0|0
0|2020-05-12|24.0|0|2.0|0|0.0|0
0|2020-05-13|24.0|0|2.0|0|0.0|0
