|dates|Alamance_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Alamance_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Alamance_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Alamance_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Alamance_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Alamance_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|5.0|0|0.0|0|0.0|0
0|2020-03-28|5.0|0|0.0|0|0.0|0
0|2020-03-29|6.0|0|0.0|0|0.0|0
0|2020-03-30|7.0|0|0.0|0|0.0|0
0|2020-03-31|7.0|0|0.0|0|0.0|0
0|2020-04-01|7.0|0|0.0|0|0.0|0
0|2020-04-02|13.0|0|0.0|0|0.0|0
0|2020-04-03|14.0|0|0.0|0|0.0|0
0|2020-04-04|16.0|0|0.0|0|0.0|0
0|2020-04-05|19.0|0|0.0|0|0.0|0
0|2020-04-06|20.0|0|0.0|0|0.0|0
0|2020-04-07|24.0|0|0.0|0|0.0|0
0|2020-04-08|30.0|0|0.0|0|0.0|0
0|2020-04-09|30.0|0|0.0|0|0.0|0
0|2020-04-10|33.0|0|0.0|0|0.0|0
0|2020-04-11|34.0|0|0.0|0|0.0|0
0|2020-04-12|36.0|0|0.0|0|0.0|0
0|2020-04-13|68.0|0|0.0|0|0.0|0
0|2020-04-14|73.0|0|0.0|0|0.0|0
0|2020-04-15|43.0|0|0.0|0|0.0|0
0|2020-04-16|45.0|0|0.0|0|0.0|0
0|2020-04-17|47.0|0|0.0|0|0.0|0
0|2020-04-18|48.0|0|0.0|0|0.0|0
0|2020-04-19|50.0|0|0.0|0|0.0|0
0|2020-04-20|50.0|0|0.0|0|0.0|0
0|2020-04-21|58.0|0|0.0|0|0.0|0
0|2020-04-22|60.0|0|0.0|0|0.0|0
0|2020-04-23|63.0|0|0.0|0|0.0|0
0|2020-04-24|73.0|0|1.0|0|0.0|0
0|2020-04-25|77.0|0|1.0|0|0.0|0
0|2020-04-26|90.0|0|1.0|0|0.0|0
0|2020-04-27|91.0|0|1.0|0|0.0|0
0|2020-04-28|94.0|0|1.0|0|0.0|0
0|2020-04-29|96.0|0|1.0|0|0.0|0
0|2020-04-30|109.0|0|1.0|0|0.0|0
0|2020-05-01|109.0|0|1.0|0|0.0|0
0|2020-05-02|121.0|0|2.0|0|0.0|0
0|2020-05-03|124.0|0|2.0|0|0.0|0
0|2020-05-04|128.0|0|2.0|0|0.0|0
0|2020-05-05|128.0|0|3.0|0|0.0|0
0|2020-05-06|128.0|0|3.0|0|0.0|0
0|2020-05-07|143.0|0|3.0|0|0.0|0
0|2020-05-08|149.0|0|3.0|0|0.0|0
0|2020-05-09|152.0|0|4.0|0|0.0|0
0|2020-05-10|173.0|0|5.0|0|0.0|0
0|2020-05-11|173.0|0|5.0|0|0.0|0
0|2020-05-12|183.0|0|8.0|0|0.0|0
0|2020-05-13|190.0|0|9.0|0|0.0|0
