|dates|Queens_NewYork_UnitedStates.JHU_ConfirmedCases.data|Queens_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Queens_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Queens_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Queens_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Queens_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|1.0|0|0.0|0|0.0|0
0|2020-03-03|2.0|0|0.0|0|0.0|0
0|2020-03-04|11.0|0|0.0|0|0.0|0
0|2020-03-05|23.0|0|0.0|0|0.0|0
0|2020-03-06|31.0|0|0.0|0|0.0|0
0|2020-03-07|76.0|0|0.0|0|0.0|0
0|2020-03-08|106.0|0|0.0|0|0.0|0
0|2020-03-09|142.0|0|0.0|0|0.0|0
0|2020-03-10|150.0|0|0.0|0|0.0|0
0|2020-03-11|220.0|0|0.0|0|0.0|0
0|2020-03-12|327.0|0|0.0|0|0.0|0
0|2020-03-13|421.0|0|0.0|0|0.0|0
0|2020-03-14|613.0|0|2.0|0|0.0|0
0|2020-03-15|615.0|0|2.0|0|0.0|0
0|2020-03-16|967.0|0|10.0|0|0.0|0
0|2020-03-17|1578.0|0|13.0|0|0.0|0
0|2020-03-18|3038.0|0|17.0|0|0.0|0
0|2020-03-19|5704.0|0|38.0|0|0.0|0
0|2020-03-20|8403.0|0|46.0|0|0.0|0
0|2020-03-21|11727.0|0|60.0|0|0.0|0
0|2020-03-22|15800.0|0|117.0|0|0.0|0
0|2020-03-23|20884.0|0|158.0|0|0.0|0
0|2020-03-24|25681.0|0|210.0|0|0.0|0
0|2020-03-25|30841.0|0|285.0|0|0.0|0
0|2020-03-26|37877.0|0|385.0|0|0.0|0
0|2020-03-27|44876.0|0|527.0|0|0.0|0
0|2020-03-28|52410.0|0|728.0|0|0.0|0
0|2020-03-29|59648.0|0|965.0|0|0.0|0
0|2020-03-30|66663.0|0|1218.0|0|0.0|0
0|2020-03-31|75833.0|0|1550.0|0|0.0|0
0|2020-04-01|83948.0|0|1941.0|0|0.0|0
0|2020-04-02|92506.0|0|2373.0|0|0.0|0
0|2020-04-03|102987.0|0|2935.0|0|0.0|0
0|2020-04-04|113833.0|0|3565.0|0|0.0|0
0|2020-04-05|123160.0|0|4159.0|0|0.0|0
0|2020-04-06|131815.0|0|4698.0|0|0.0|0
0|2020-04-07|139875.0|0|5489.0|0|0.0|0
0|2020-04-08|151061.0|0|6268.0|0|0.0|0
0|2020-04-09|161779.0|0|7067.0|0|0.0|0
0|2020-04-10|172348.0|0|7867.0|0|0.0|0
0|2020-04-11|181026.0|0|8627.0|0|0.0|0
0|2020-04-12|189033.0|0|9385.0|0|0.0|0
0|2020-04-13|195749.0|0|10058.0|0|0.0|0
0|2020-04-14|203020.0|0|10842.0|0|0.0|0
0|2020-04-15|214454.0|0|11617.0|0|0.0|0
0|2020-04-16|223691.0|0|14832.0|0|0.0|0
0|2020-04-17|230597.0|0|17131.0|0|0.0|0
0|2020-04-18|241712.0|0|17671.0|0|0.0|0
0|2020-04-19|247815.0|0|18298.0|0|0.0|0
0|2020-04-20|253060.0|0|18611.0|0|0.0|0
0|2020-04-21|258361.0|0|19104.0|0|0.0|0
0|2020-04-22|263292.0|0|19413.0|0|0.0|0
0|2020-04-23|263460.0|0|20973.0|0|0.0|0
0|2020-04-24|271590.0|0|21411.0|0|0.0|0
0|2020-04-25|282143.0|0|22009.0|0|0.0|0
0|2020-04-26|288045.0|0|22269.0|0|0.0|0
0|2020-04-27|291996.0|0|22668.0|0|0.0|0
0|2020-04-28|295106.0|0|22912.0|0|0.0|0
0|2020-04-29|299691.0|0|23477.0|0|0.0|0
0|2020-04-30|304372.0|0|23587.0|0|0.0|0
0|2020-05-01|308314.0|0|24039.0|0|0.0|0
0|2020-05-02|312977.0|0|24198.0|0|0.0|0
0|2020-05-03|316415.0|0|24708.0|0|0.0|0
0|2020-05-04|318953.0|0|24999.0|0|0.0|0
0|2020-05-05|321192.0|0|25124.0|0|0.0|0
0|2020-05-06|321192.0|0|25124.0|0|0.0|0
0|2020-05-07|321192.0|0|25124.0|0|0.0|0
0|2020-05-08|321192.0|0|25124.0|0|0.0|0
0|2020-05-09|321192.0|0|25124.0|0|0.0|0
0|2020-05-10|321192.0|0|25124.0|0|0.0|0
0|2020-05-11|321192.0|0|25124.0|0|0.0|0
0|2020-05-12|321192.0|0|25124.0|0|0.0|0
0|2020-05-13|321192.0|0|25124.0|0|0.0|0
