|dates|Randolph_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Randolph_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Randolph_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Randolph_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Randolph_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Randolph_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|8.0|0|0.0|0|0.0|0
0|2020-03-28|9.0|0|0.0|0|0.0|0
0|2020-03-29|15.0|0|0.0|0|0.0|0
0|2020-03-30|15.0|0|0.0|0|0.0|0
0|2020-03-31|17.0|0|0.0|0|0.0|0
0|2020-04-01|17.0|0|0.0|0|0.0|0
0|2020-04-02|19.0|0|0.0|0|0.0|0
0|2020-04-03|19.0|0|1.0|0|0.0|0
0|2020-04-04|26.0|0|1.0|0|0.0|0
0|2020-04-05|29.0|0|1.0|0|0.0|0
0|2020-04-06|33.0|0|1.0|0|0.0|0
0|2020-04-07|35.0|0|1.0|0|0.0|0
0|2020-04-08|37.0|0|2.0|0|0.0|0
0|2020-04-09|42.0|0|2.0|0|0.0|0
0|2020-04-10|46.0|0|2.0|0|0.0|0
0|2020-04-11|51.0|0|2.0|0|0.0|0
0|2020-04-12|51.0|0|2.0|0|0.0|0
0|2020-04-13|53.0|0|2.0|0|0.0|0
0|2020-04-14|55.0|0|2.0|0|0.0|0
0|2020-04-15|60.0|0|2.0|0|0.0|0
0|2020-04-16|63.0|0|2.0|0|0.0|0
0|2020-04-17|67.0|0|2.0|0|0.0|0
0|2020-04-18|69.0|0|2.0|0|0.0|0
0|2020-04-19|74.0|0|2.0|0|0.0|0
0|2020-04-20|77.0|0|2.0|0|0.0|0
0|2020-04-21|78.0|0|2.0|0|0.0|0
0|2020-04-22|97.0|0|2.0|0|0.0|0
0|2020-04-23|97.0|0|2.0|0|0.0|0
0|2020-04-24|107.0|0|2.0|0|0.0|0
0|2020-04-25|118.0|0|2.0|0|0.0|0
0|2020-04-26|128.0|0|3.0|0|0.0|0
0|2020-04-27|154.0|0|3.0|0|0.0|0
0|2020-04-28|154.0|0|3.0|0|0.0|0
0|2020-04-29|168.0|0|3.0|0|0.0|0
0|2020-04-30|205.0|0|3.0|0|0.0|0
0|2020-05-01|209.0|0|3.0|0|0.0|0
0|2020-05-02|228.0|0|3.0|0|0.0|0
0|2020-05-03|238.0|0|3.0|0|0.0|0
0|2020-05-04|242.0|0|3.0|0|0.0|0
0|2020-05-05|255.0|0|4.0|0|0.0|0
0|2020-05-06|285.0|0|5.0|0|0.0|0
0|2020-05-07|290.0|0|5.0|0|0.0|0
0|2020-05-08|307.0|0|5.0|0|0.0|0
0|2020-05-09|317.0|0|5.0|0|0.0|0
0|2020-05-10|338.0|0|6.0|0|0.0|0
0|2020-05-11|338.0|0|6.0|0|0.0|0
0|2020-05-12|355.0|0|6.0|0|0.0|0
0|2020-05-13|389.0|0|6.0|0|0.0|0
