|dates|Eaton_Michigan_UnitedStates.JHU_ConfirmedCases.data|Eaton_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Eaton_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Eaton_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Eaton_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Eaton_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|8.0|0|0.0|0|0.0|0
0|2020-03-28|8.0|0|0.0|0|0.0|0
0|2020-03-29|8.0|0|0.0|0|0.0|0
0|2020-03-30|15.0|0|0.0|0|0.0|0
0|2020-03-31|21.0|0|0.0|0|0.0|0
0|2020-04-01|27.0|0|0.0|0|0.0|0
0|2020-04-02|37.0|0|1.0|0|0.0|0
0|2020-04-03|47.0|0|2.0|0|0.0|0
0|2020-04-04|53.0|0|2.0|0|0.0|0
0|2020-04-05|55.0|0|2.0|0|0.0|0
0|2020-04-06|57.0|0|2.0|0|0.0|0
0|2020-04-07|61.0|0|2.0|0|0.0|0
0|2020-04-08|67.0|0|3.0|0|0.0|0
0|2020-04-09|69.0|0|3.0|0|0.0|0
0|2020-04-10|69.0|0|4.0|0|0.0|0
0|2020-04-11|71.0|0|4.0|0|0.0|0
0|2020-04-12|74.0|0|4.0|0|0.0|0
0|2020-04-13|74.0|0|5.0|0|0.0|0
0|2020-04-14|76.0|0|5.0|0|0.0|0
0|2020-04-15|77.0|0|5.0|0|0.0|0
0|2020-04-16|84.0|0|5.0|0|0.0|0
0|2020-04-17|87.0|0|5.0|0|0.0|0
0|2020-04-18|88.0|0|5.0|0|0.0|0
0|2020-04-19|88.0|0|5.0|0|0.0|0
0|2020-04-20|90.0|0|5.0|0|0.0|0
0|2020-04-21|99.0|0|5.0|0|0.0|0
0|2020-04-22|104.0|0|5.0|0|0.0|0
0|2020-04-23|111.0|0|5.0|0|0.0|0
0|2020-04-24|114.0|0|5.0|0|0.0|0
0|2020-04-25|114.0|0|5.0|0|0.0|0
0|2020-04-26|115.0|0|5.0|0|0.0|0
0|2020-04-27|116.0|0|6.0|0|0.0|0
0|2020-04-28|119.0|0|6.0|0|0.0|0
0|2020-04-29|124.0|0|6.0|0|0.0|0
0|2020-04-30|131.0|0|6.0|0|0.0|0
0|2020-05-01|133.0|0|6.0|0|0.0|0
0|2020-05-02|136.0|0|6.0|0|0.0|0
0|2020-05-03|136.0|0|6.0|0|0.0|0
0|2020-05-04|137.0|0|6.0|0|0.0|0
0|2020-05-05|138.0|0|6.0|0|0.0|0
0|2020-05-06|141.0|0|6.0|0|0.0|0
0|2020-05-07|146.0|0|6.0|0|0.0|0
0|2020-05-08|152.0|0|6.0|0|0.0|0
0|2020-05-09|150.0|0|6.0|0|0.0|0
0|2020-05-10|150.0|0|6.0|0|0.0|0
0|2020-05-11|151.0|0|6.0|0|0.0|0
0|2020-05-12|152.0|0|6.0|0|0.0|0
0|2020-05-13|155.0|0|6.0|0|0.0|0
