|dates|PrinceEdward_Virginia_UnitedStates.JHU_ConfirmedCases.data|PrinceEdward_Virginia_UnitedStates.JHU_ConfirmedCases.missing|PrinceEdward_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|PrinceEdward_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|PrinceEdward_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|PrinceEdward_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|2.0|0|0.0|0|0.0|0
0|2020-03-27|2.0|0|0.0|0|0.0|0
0|2020-03-28|2.0|0|0.0|0|0.0|0
0|2020-03-29|2.0|0|0.0|0|0.0|0
0|2020-03-30|2.0|0|0.0|0|0.0|0
0|2020-03-31|2.0|0|0.0|0|0.0|0
0|2020-04-01|2.0|0|0.0|0|0.0|0
0|2020-04-02|2.0|0|0.0|0|0.0|0
0|2020-04-03|2.0|0|0.0|0|0.0|0
0|2020-04-04|3.0|0|0.0|0|0.0|0
0|2020-04-05|3.0|0|0.0|0|0.0|0
0|2020-04-06|3.0|0|0.0|0|0.0|0
0|2020-04-07|3.0|0|0.0|0|0.0|0
0|2020-04-08|3.0|0|0.0|0|0.0|0
0|2020-04-09|3.0|0|0.0|0|0.0|0
0|2020-04-10|5.0|0|0.0|0|0.0|0
0|2020-04-11|8.0|0|0.0|0|0.0|0
0|2020-04-12|9.0|0|0.0|0|0.0|0
0|2020-04-13|13.0|0|0.0|0|0.0|0
0|2020-04-14|13.0|0|0.0|0|0.0|0
0|2020-04-15|15.0|0|0.0|0|0.0|0
0|2020-04-16|15.0|0|0.0|0|0.0|0
0|2020-04-17|17.0|0|0.0|0|0.0|0
0|2020-04-18|17.0|0|0.0|0|0.0|0
0|2020-04-19|17.0|0|0.0|0|0.0|0
0|2020-04-20|17.0|0|0.0|0|0.0|0
0|2020-04-21|19.0|0|0.0|0|0.0|0
0|2020-04-22|19.0|0|2.0|0|0.0|0
0|2020-04-23|29.0|0|2.0|0|0.0|0
0|2020-04-24|34.0|0|2.0|0|0.0|0
0|2020-04-25|37.0|0|2.0|0|0.0|0
0|2020-04-26|41.0|0|2.0|0|0.0|0
0|2020-04-27|41.0|0|2.0|0|0.0|0
0|2020-04-28|41.0|0|2.0|0|0.0|0
0|2020-04-29|46.0|0|2.0|0|0.0|0
0|2020-04-30|49.0|0|2.0|0|0.0|0
0|2020-05-01|51.0|0|2.0|0|0.0|0
0|2020-05-02|55.0|0|2.0|0|0.0|0
0|2020-05-03|55.0|0|2.0|0|0.0|0
0|2020-05-04|55.0|0|2.0|0|0.0|0
0|2020-05-05|58.0|0|2.0|0|0.0|0
0|2020-05-06|58.0|0|2.0|0|0.0|0
0|2020-05-07|63.0|0|2.0|0|0.0|0
0|2020-05-08|65.0|0|2.0|0|0.0|0
0|2020-05-09|66.0|0|2.0|0|0.0|0
0|2020-05-10|66.0|0|2.0|0|0.0|0
0|2020-05-11|66.0|0|2.0|0|0.0|0
0|2020-05-12|68.0|0|2.0|0|0.0|0
0|2020-05-13|69.0|0|2.0|0|0.0|0
