|dates|Monterey_California_UnitedStates.JHU_ConfirmedCases.data|Monterey_California_UnitedStates.JHU_ConfirmedCases.missing|Monterey_California_UnitedStates.JHU_ConfirmedDeaths.data|Monterey_California_UnitedStates.JHU_ConfirmedDeaths.missing|Monterey_California_UnitedStates.JHU_ConfirmedRecoveries.data|Monterey_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|4.0|0|0.0|0|0.0|0
0|2020-03-20|5.0|0|0.0|0|0.0|0
0|2020-03-21|11.0|0|1.0|0|0.0|0
0|2020-03-22|11.0|0|1.0|0|0.0|0
0|2020-03-23|14.0|0|1.0|0|0.0|0
0|2020-03-24|20.0|0|1.0|0|0.0|0
0|2020-03-25|24.0|0|1.0|0|0.0|0
0|2020-03-26|24.0|0|1.0|0|0.0|0
0|2020-03-27|24.0|0|1.0|0|0.0|0
0|2020-03-28|32.0|0|1.0|0|0.0|0
0|2020-03-29|36.0|0|1.0|0|0.0|0
0|2020-03-30|36.0|0|1.0|0|0.0|0
0|2020-03-31|40.0|0|1.0|0|0.0|0
0|2020-04-01|42.0|0|1.0|0|0.0|0
0|2020-04-02|48.0|0|2.0|0|0.0|0
0|2020-04-03|53.0|0|2.0|0|0.0|0
0|2020-04-04|57.0|0|2.0|0|0.0|0
0|2020-04-05|62.0|0|2.0|0|0.0|0
0|2020-04-06|62.0|0|2.0|0|0.0|0
0|2020-04-07|62.0|0|2.0|0|0.0|0
0|2020-04-08|64.0|0|2.0|0|0.0|0
0|2020-04-09|69.0|0|2.0|0|0.0|0
0|2020-04-10|71.0|0|3.0|0|0.0|0
0|2020-04-11|79.0|0|3.0|0|0.0|0
0|2020-04-12|82.0|0|3.0|0|0.0|0
0|2020-04-13|87.0|0|3.0|0|0.0|0
0|2020-04-14|87.0|0|3.0|0|0.0|0
0|2020-04-15|100.0|0|3.0|0|0.0|0
0|2020-04-16|108.0|0|3.0|0|0.0|0
0|2020-04-17|119.0|0|3.0|0|0.0|0
0|2020-04-18|119.0|0|3.0|0|0.0|0
0|2020-04-19|136.0|0|3.0|0|0.0|0
0|2020-04-20|141.0|0|4.0|0|0.0|0
0|2020-04-21|148.0|0|4.0|0|0.0|0
0|2020-04-22|150.0|0|4.0|0|0.0|0
0|2020-04-23|154.0|0|4.0|0|0.0|0
0|2020-04-24|169.0|0|4.0|0|0.0|0
0|2020-04-25|169.0|0|4.0|0|0.0|0
0|2020-04-26|183.0|0|4.0|0|0.0|0
0|2020-04-27|183.0|0|4.0|0|0.0|0
0|2020-04-28|185.0|0|4.0|0|0.0|0
0|2020-04-29|191.0|0|5.0|0|0.0|0
0|2020-04-30|206.0|0|5.0|0|0.0|0
0|2020-05-01|213.0|0|5.0|0|0.0|0
0|2020-05-02|222.0|0|5.0|0|0.0|0
0|2020-05-03|235.0|0|6.0|0|0.0|0
0|2020-05-04|235.0|0|6.0|0|0.0|0
0|2020-05-05|237.0|0|6.0|0|0.0|0
0|2020-05-06|241.0|0|6.0|0|0.0|0
0|2020-05-07|247.0|0|6.0|0|0.0|0
0|2020-05-08|250.0|0|6.0|0|0.0|0
0|2020-05-09|267.0|0|6.0|0|0.0|0
0|2020-05-10|279.0|0|6.0|0|0.0|0
0|2020-05-11|279.0|0|6.0|0|0.0|0
0|2020-05-12|299.0|0|6.0|0|0.0|0
0|2020-05-13|299.0|0|6.0|0|0.0|0
