|dates|Baker_Florida_UnitedStates.JHU_ConfirmedCases.data|Baker_Florida_UnitedStates.JHU_ConfirmedCases.missing|Baker_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Baker_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Baker_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Baker_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|3.0|0|0.0|0|0.0|0
0|2020-03-24|4.0|0|0.0|0|0.0|0
0|2020-03-25|5.0|0|0.0|0|0.0|0
0|2020-03-26|5.0|0|0.0|0|0.0|0
0|2020-03-27|7.0|0|0.0|0|0.0|0
0|2020-03-28|7.0|0|0.0|0|0.0|0
0|2020-03-29|7.0|0|0.0|0|0.0|0
0|2020-03-30|8.0|0|0.0|0|0.0|0
0|2020-03-31|9.0|0|0.0|0|0.0|0
0|2020-04-01|9.0|0|0.0|0|0.0|0
0|2020-04-02|11.0|0|0.0|0|0.0|0
0|2020-04-03|11.0|0|0.0|0|0.0|0
0|2020-04-04|11.0|0|0.0|0|0.0|0
0|2020-04-05|12.0|0|0.0|0|0.0|0
0|2020-04-06|13.0|0|0.0|0|0.0|0
0|2020-04-07|15.0|0|0.0|0|0.0|0
0|2020-04-08|15.0|0|1.0|0|0.0|0
0|2020-04-09|16.0|0|2.0|0|0.0|0
0|2020-04-10|16.0|0|2.0|0|0.0|0
0|2020-04-11|17.0|0|2.0|0|0.0|0
0|2020-04-12|17.0|0|2.0|0|0.0|0
0|2020-04-13|17.0|0|2.0|0|0.0|0
0|2020-04-14|17.0|0|2.0|0|0.0|0
0|2020-04-15|17.0|0|2.0|0|0.0|0
0|2020-04-16|17.0|0|2.0|0|0.0|0
0|2020-04-17|17.0|0|3.0|0|0.0|0
0|2020-04-18|17.0|0|3.0|0|0.0|0
0|2020-04-19|17.0|0|3.0|0|0.0|0
0|2020-04-20|17.0|0|3.0|0|0.0|0
0|2020-04-21|17.0|0|3.0|0|0.0|0
0|2020-04-22|17.0|0|3.0|0|0.0|0
0|2020-04-23|19.0|0|3.0|0|0.0|0
0|2020-04-24|20.0|0|3.0|0|0.0|0
0|2020-04-25|20.0|0|3.0|0|0.0|0
0|2020-04-26|20.0|0|3.0|0|0.0|0
0|2020-04-27|20.0|0|3.0|0|0.0|0
0|2020-04-28|20.0|0|3.0|0|0.0|0
0|2020-04-29|20.0|0|3.0|0|0.0|0
0|2020-04-30|20.0|0|3.0|0|0.0|0
0|2020-05-01|22.0|0|3.0|0|0.0|0
0|2020-05-02|22.0|0|3.0|0|0.0|0
0|2020-05-03|22.0|0|3.0|0|0.0|0
0|2020-05-04|22.0|0|3.0|0|0.0|0
0|2020-05-05|22.0|0|3.0|0|0.0|0
0|2020-05-06|22.0|0|3.0|0|0.0|0
0|2020-05-07|22.0|0|3.0|0|0.0|0
0|2020-05-08|24.0|0|3.0|0|0.0|0
0|2020-05-09|24.0|0|3.0|0|0.0|0
0|2020-05-10|25.0|0|3.0|0|0.0|0
0|2020-05-11|25.0|0|3.0|0|0.0|0
0|2020-05-12|25.0|0|3.0|0|0.0|0
0|2020-05-13|26.0|0|3.0|0|0.0|0
