|dates|Dakota_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Dakota_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Dakota_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Dakota_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Dakota_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Dakota_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|0.0|0|0.0|0
0|2020-03-28|0.0|0|0.0|0|0.0|0
0|2020-03-29|0.0|0|0.0|0|0.0|0
0|2020-03-30|0.0|0|0.0|0|0.0|0
0|2020-03-31|0.0|0|0.0|0|0.0|0
0|2020-04-01|0.0|0|0.0|0|0.0|0
0|2020-04-02|0.0|0|0.0|0|0.0|0
0|2020-04-03|0.0|0|0.0|0|0.0|0
0|2020-04-04|0.0|0|0.0|0|0.0|0
0|2020-04-05|0.0|0|0.0|0|0.0|0
0|2020-04-06|0.0|0|0.0|0|0.0|0
0|2020-04-07|0.0|0|0.0|0|0.0|0
0|2020-04-08|0.0|0|0.0|0|0.0|0
0|2020-04-09|0.0|0|0.0|0|0.0|0
0|2020-04-10|0.0|0|0.0|0|0.0|0
0|2020-04-11|0.0|0|0.0|0|0.0|0
0|2020-04-12|0.0|0|0.0|0|0.0|0
0|2020-04-13|2.0|0|0.0|0|0.0|0
0|2020-04-14|2.0|0|0.0|0|0.0|0
0|2020-04-15|2.0|0|0.0|0|0.0|0
0|2020-04-16|3.0|0|0.0|0|0.0|0
0|2020-04-17|9.0|0|0.0|0|0.0|0
0|2020-04-18|22.0|0|0.0|0|0.0|0
0|2020-04-19|29.0|0|0.0|0|0.0|0
0|2020-04-20|51.0|0|0.0|0|0.0|0
0|2020-04-21|73.0|0|0.0|0|0.0|0
0|2020-04-22|86.0|0|0.0|0|0.0|0
0|2020-04-23|246.0|0|0.0|0|0.0|0
0|2020-04-24|246.0|0|0.0|0|0.0|0
0|2020-04-25|332.0|0|0.0|0|0.0|0
0|2020-04-26|403.0|0|0.0|0|0.0|0
0|2020-04-27|459.0|0|0.0|0|0.0|0
0|2020-04-28|608.0|0|0.0|0|0.0|0
0|2020-04-29|608.0|0|0.0|0|0.0|0
0|2020-04-30|656.0|0|1.0|0|0.0|0
0|2020-05-01|942.0|0|1.0|0|0.0|0
0|2020-05-02|942.0|0|1.0|0|0.0|0
0|2020-05-03|980.0|0|1.0|0|0.0|0
0|2020-05-04|980.0|0|1.0|0|0.0|0
0|2020-05-05|980.0|0|1.0|0|0.0|0
0|2020-05-06|980.0|0|1.0|0|0.0|0
0|2020-05-07|1017.0|0|3.0|0|0.0|0
0|2020-05-08|1323.0|0|3.0|0|0.0|0
0|2020-05-09|1342.0|0|3.0|0|0.0|0
0|2020-05-10|1348.0|0|3.0|0|0.0|0
0|2020-05-11|1348.0|0|3.0|0|0.0|0
0|2020-05-12|1362.0|0|3.0|0|0.0|0
0|2020-05-13|1376.0|0|3.0|0|0.0|0
