|dates|OutofGA_Georgia_UnitedStates.JHU_ConfirmedCases.data|OutofGA_Georgia_UnitedStates.JHU_ConfirmedCases.missing|OutofGA_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|OutofGA_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|OutofGA_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|OutofGA_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|0.0|0|0.0|0
0|2020-03-28|0.0|0|0.0|0|0.0|0
0|2020-03-29|0.0|0|0.0|0|0.0|0
0|2020-03-30|0.0|0|0.0|0|0.0|0
0|2020-03-31|0.0|0|0.0|0|0.0|0
0|2020-04-01|0.0|0|0.0|0|0.0|0
0|2020-04-02|0.0|0|0.0|0|0.0|0
0|2020-04-03|0.0|0|0.0|0|0.0|0
0|2020-04-04|0.0|0|0.0|0|0.0|0
0|2020-04-05|0.0|0|0.0|0|0.0|0
0|2020-04-06|0.0|0|0.0|0|0.0|0
0|2020-04-07|0.0|0|0.0|0|0.0|0
0|2020-04-08|0.0|0|0.0|0|0.0|0
0|2020-04-09|0.0|0|0.0|0|0.0|0
0|2020-04-10|0.0|0|0.0|0|0.0|0
0|2020-04-11|0.0|0|0.0|0|0.0|0
0|2020-04-12|0.0|0|0.0|0|0.0|0
0|2020-04-13|0.0|0|0.0|0|0.0|0
0|2020-04-14|665.0|0|0.0|0|0.0|0
0|2020-04-15|683.0|0|0.0|0|0.0|0
0|2020-04-16|707.0|0|0.0|0|0.0|0
0|2020-04-17|780.0|0|7.0|0|0.0|0
0|2020-04-18|815.0|0|7.0|0|0.0|0
0|2020-04-19|868.0|0|7.0|0|0.0|0
0|2020-04-20|951.0|0|7.0|0|0.0|0
0|2020-04-21|970.0|0|7.0|0|0.0|0
0|2020-04-22|1003.0|0|9.0|0|0.0|0
0|2020-04-23|978.0|0|10.0|0|0.0|0
0|2020-04-24|916.0|0|10.0|0|0.0|0
0|2020-04-25|991.0|0|10.0|0|0.0|0
0|2020-04-26|1022.0|0|9.0|0|0.0|0
0|2020-04-27|1027.0|0|13.0|0|0.0|0
0|2020-04-28|972.0|0|13.0|0|0.0|0
0|2020-04-29|1018.0|0|14.0|0|0.0|0
0|2020-04-30|962.0|0|14.0|0|0.0|0
0|2020-05-01|1068.0|0|14.0|0|0.0|0
0|2020-05-02|1062.0|0|14.0|0|0.0|0
0|2020-05-03|1054.0|0|14.0|0|0.0|0
0|2020-05-04|1084.0|0|18.0|0|0.0|0
0|2020-05-05|1043.0|0|18.0|0|0.0|0
0|2020-05-06|1017.0|0|18.0|0|0.0|0
0|2020-05-07|1089.0|0|19.0|0|0.0|0
0|2020-05-08|1088.0|0|22.0|0|0.0|0
0|2020-05-09|1108.0|0|22.0|0|0.0|0
0|2020-05-10|1490.0|0|22.0|0|0.0|0
0|2020-05-11|1490.0|0|22.0|0|0.0|0
0|2020-05-12|1582.0|0|24.0|0|0.0|0
0|2020-05-13|1561.0|0|23.0|0|0.0|0
