|dates|Faribault_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Faribault_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Faribault_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Faribault_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Faribault_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Faribault_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|1.0|0|0.0|0|0.0|0
0|2020-03-28|1.0|0|0.0|0|0.0|0
0|2020-03-29|1.0|0|0.0|0|0.0|0
0|2020-03-30|1.0|0|0.0|0|0.0|0
0|2020-03-31|2.0|0|0.0|0|0.0|0
0|2020-04-01|2.0|0|0.0|0|0.0|0
0|2020-04-02|2.0|0|0.0|0|0.0|0
0|2020-04-03|3.0|0|0.0|0|0.0|0
0|2020-04-04|3.0|0|0.0|0|0.0|0
0|2020-04-05|3.0|0|0.0|0|0.0|0
0|2020-04-06|3.0|0|0.0|0|0.0|0
0|2020-04-07|3.0|0|0.0|0|0.0|0
0|2020-04-08|3.0|0|0.0|0|0.0|0
0|2020-04-09|4.0|0|0.0|0|0.0|0
0|2020-04-10|4.0|0|0.0|0|0.0|0
0|2020-04-11|4.0|0|0.0|0|0.0|0
0|2020-04-12|4.0|0|0.0|0|0.0|0
0|2020-04-13|4.0|0|0.0|0|0.0|0
0|2020-04-14|4.0|0|0.0|0|0.0|0
0|2020-04-15|4.0|0|0.0|0|0.0|0
0|2020-04-16|4.0|0|0.0|0|0.0|0
0|2020-04-17|4.0|0|0.0|0|0.0|0
0|2020-04-18|4.0|0|0.0|0|0.0|0
0|2020-04-19|4.0|0|0.0|0|0.0|0
0|2020-04-20|4.0|0|0.0|0|0.0|0
0|2020-04-21|4.0|0|0.0|0|0.0|0
0|2020-04-22|4.0|0|0.0|0|0.0|0
0|2020-04-23|4.0|0|0.0|0|0.0|0
0|2020-04-24|4.0|0|0.0|0|0.0|0
0|2020-04-25|4.0|0|0.0|0|0.0|0
0|2020-04-26|4.0|0|0.0|0|0.0|0
0|2020-04-27|4.0|0|0.0|0|0.0|0
0|2020-04-28|4.0|0|0.0|0|0.0|0
0|2020-04-29|5.0|0|0.0|0|0.0|0
0|2020-04-30|5.0|0|0.0|0|0.0|0
0|2020-05-01|5.0|0|0.0|0|0.0|0
0|2020-05-02|6.0|0|0.0|0|0.0|0
0|2020-05-03|6.0|0|0.0|0|0.0|0
0|2020-05-04|7.0|0|0.0|0|0.0|0
0|2020-05-05|7.0|0|0.0|0|0.0|0
0|2020-05-06|8.0|0|0.0|0|0.0|0
0|2020-05-07|7.0|0|0.0|0|0.0|0
0|2020-05-08|7.0|0|0.0|0|0.0|0
0|2020-05-09|10.0|0|0.0|0|0.0|0
0|2020-05-10|12.0|0|0.0|0|0.0|0
0|2020-05-11|12.0|0|0.0|0|0.0|0
0|2020-05-12|10.0|0|0.0|0|0.0|0
0|2020-05-13|8.0|0|0.0|0|0.0|0
