|dates|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|4.0|0|0.0|0|0.0|0
0|2020-03-30|6.0|0|0.0|0|0.0|0
0|2020-03-31|6.0|0|0.0|0|0.0|0
0|2020-04-01|9.0|0|0.0|0|0.0|0
0|2020-04-02|10.0|0|0.0|0|0.0|0
0|2020-04-03|10.0|0|0.0|0|0.0|0
0|2020-04-04|13.0|0|0.0|0|0.0|0
0|2020-04-05|13.0|0|0.0|0|0.0|0
0|2020-04-06|15.0|0|0.0|0|0.0|0
0|2020-04-07|16.0|0|0.0|0|0.0|0
0|2020-04-08|16.0|0|0.0|0|0.0|0
0|2020-04-09|21.0|0|0.0|0|0.0|0
0|2020-04-10|22.0|0|0.0|0|0.0|0
0|2020-04-11|22.0|0|0.0|0|0.0|0
0|2020-04-12|22.0|0|0.0|0|0.0|0
0|2020-04-13|23.0|0|0.0|0|0.0|0
0|2020-04-14|27.0|0|0.0|0|0.0|0
0|2020-04-15|28.0|0|0.0|0|0.0|0
0|2020-04-16|29.0|0|0.0|0|0.0|0
0|2020-04-17|31.0|0|0.0|0|0.0|0
0|2020-04-18|35.0|0|0.0|0|0.0|0
0|2020-04-19|36.0|0|0.0|0|0.0|0
0|2020-04-20|36.0|0|0.0|0|0.0|0
0|2020-04-21|36.0|0|0.0|0|0.0|0
0|2020-04-22|37.0|0|0.0|0|0.0|0
0|2020-04-23|39.0|0|0.0|0|0.0|0
0|2020-04-24|40.0|0|0.0|0|0.0|0
0|2020-04-25|44.0|0|0.0|0|0.0|0
0|2020-04-26|44.0|0|0.0|0|0.0|0
0|2020-04-27|46.0|0|0.0|0|0.0|0
0|2020-04-28|47.0|0|0.0|0|0.0|0
0|2020-04-29|48.0|0|0.0|0|0.0|0
0|2020-04-30|51.0|0|1.0|0|0.0|0
0|2020-05-01|58.0|0|1.0|0|0.0|0
0|2020-05-02|59.0|0|1.0|0|0.0|0
0|2020-05-03|59.0|0|1.0|0|0.0|0
0|2020-05-04|60.0|0|1.0|0|0.0|0
0|2020-05-05|61.0|0|1.0|0|0.0|0
0|2020-05-06|65.0|0|1.0|0|0.0|0
0|2020-05-07|69.0|0|1.0|0|0.0|0
0|2020-05-08|72.0|0|1.0|0|0.0|0
0|2020-05-09|75.0|0|1.0|0|0.0|0
0|2020-05-10|79.0|0|1.0|0|0.0|0
0|2020-05-11|79.0|0|1.0|0|0.0|0
0|2020-05-12|80.0|0|1.0|0|0.0|0
0|2020-05-13|85.0|0|1.0|0|0.0|0
