|dates|Daviess_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Daviess_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Daviess_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Daviess_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Daviess_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Daviess_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|11.0|0|0.0|0|0.0|0
0|2020-03-24|11.0|0|0.0|0|0.0|0
0|2020-03-25|14.0|0|0.0|0|0.0|0
0|2020-03-26|14.0|0|0.0|0|0.0|0
0|2020-03-27|14.0|0|0.0|0|0.0|0
0|2020-03-28|33.0|0|0.0|0|0.0|0
0|2020-03-29|27.0|0|0.0|0|0.0|0
0|2020-03-30|27.0|0|0.0|0|0.0|0
0|2020-03-31|34.0|0|0.0|0|0.0|0
0|2020-04-01|34.0|0|0.0|0|0.0|0
0|2020-04-02|34.0|0|1.0|0|0.0|0
0|2020-04-03|34.0|0|1.0|0|0.0|0
0|2020-04-04|55.0|0|1.0|0|0.0|0
0|2020-04-05|55.0|0|1.0|0|0.0|0
0|2020-04-06|55.0|0|1.0|0|0.0|0
0|2020-04-07|58.0|0|1.0|0|0.0|0
0|2020-04-08|58.0|0|1.0|0|0.0|0
0|2020-04-09|61.0|0|1.0|0|0.0|0
0|2020-04-10|79.0|0|2.0|0|0.0|0
0|2020-04-11|79.0|0|2.0|0|0.0|0
0|2020-04-12|81.0|0|2.0|0|0.0|0
0|2020-04-13|81.0|0|2.0|0|0.0|0
0|2020-04-14|87.0|0|3.0|0|0.0|0
0|2020-04-15|89.0|0|3.0|0|0.0|0
0|2020-04-16|106.0|0|3.0|0|0.0|0
0|2020-04-17|105.0|0|3.0|0|0.0|0
0|2020-04-18|109.0|0|3.0|0|0.0|0
0|2020-04-19|125.0|0|3.0|0|0.0|0
0|2020-04-20|130.0|0|3.0|0|0.0|0
0|2020-04-21|130.0|0|3.0|0|0.0|0
0|2020-04-22|134.0|0|3.0|0|0.0|0
0|2020-04-23|133.0|0|3.0|0|0.0|0
0|2020-04-24|145.0|0|3.0|0|0.0|0
0|2020-04-25|147.0|0|3.0|0|0.0|0
0|2020-04-26|154.0|0|3.0|0|0.0|0
0|2020-04-27|157.0|0|3.0|0|0.0|0
0|2020-04-28|169.0|0|3.0|0|0.0|0
0|2020-04-29|182.0|0|3.0|0|0.0|0
0|2020-04-30|188.0|0|4.0|0|0.0|0
0|2020-05-01|194.0|0|4.0|0|0.0|0
0|2020-05-02|194.0|0|4.0|0|0.0|0
0|2020-05-03|217.0|0|4.0|0|0.0|0
0|2020-05-04|223.0|0|4.0|0|0.0|0
0|2020-05-05|242.0|0|4.0|0|0.0|0
0|2020-05-06|247.0|0|4.0|0|0.0|0
0|2020-05-07|258.0|0|4.0|0|0.0|0
0|2020-05-08|260.0|0|4.0|0|0.0|0
0|2020-05-09|260.0|0|4.0|0|0.0|0
0|2020-05-10|260.0|0|4.0|0|0.0|0
0|2020-05-11|260.0|0|4.0|0|0.0|0
0|2020-05-12|274.0|0|4.0|0|0.0|0
0|2020-05-13|274.0|0|4.0|0|0.0|0
