|dates|Spotsylvania_Virginia_UnitedStates.JHU_ConfirmedCases.data|Spotsylvania_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Spotsylvania_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Spotsylvania_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Spotsylvania_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Spotsylvania_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|3.0|0|0.0|0|0.0|0
0|2020-03-28|3.0|0|0.0|0|0.0|0
0|2020-03-29|3.0|0|0.0|0|0.0|0
0|2020-03-30|6.0|0|0.0|0|0.0|0
0|2020-03-31|7.0|0|0.0|0|0.0|0
0|2020-04-01|8.0|0|0.0|0|0.0|0
0|2020-04-02|9.0|0|0.0|0|0.0|0
0|2020-04-03|11.0|0|0.0|0|0.0|0
0|2020-04-04|18.0|0|0.0|0|0.0|0
0|2020-04-05|24.0|0|0.0|0|0.0|0
0|2020-04-06|26.0|0|0.0|0|0.0|0
0|2020-04-07|29.0|0|0.0|0|0.0|0
0|2020-04-08|31.0|0|0.0|0|0.0|0
0|2020-04-09|36.0|0|0.0|0|0.0|0
0|2020-04-10|43.0|0|0.0|0|0.0|0
0|2020-04-11|47.0|0|0.0|0|0.0|0
0|2020-04-12|50.0|0|0.0|0|0.0|0
0|2020-04-13|51.0|0|0.0|0|0.0|0
0|2020-04-14|56.0|0|0.0|0|0.0|0
0|2020-04-15|60.0|0|0.0|0|0.0|0
0|2020-04-16|62.0|0|0.0|0|0.0|0
0|2020-04-17|69.0|0|0.0|0|0.0|0
0|2020-04-18|72.0|0|0.0|0|0.0|0
0|2020-04-19|74.0|0|0.0|0|0.0|0
0|2020-04-20|77.0|0|0.0|0|0.0|0
0|2020-04-21|79.0|0|0.0|0|0.0|0
0|2020-04-22|83.0|0|3.0|0|0.0|0
0|2020-04-23|94.0|0|3.0|0|0.0|0
0|2020-04-24|97.0|0|3.0|0|0.0|0
0|2020-04-25|101.0|0|3.0|0|0.0|0
0|2020-04-26|107.0|0|3.0|0|0.0|0
0|2020-04-27|119.0|0|3.0|0|0.0|0
0|2020-04-28|126.0|0|3.0|0|0.0|0
0|2020-04-29|131.0|0|3.0|0|0.0|0
0|2020-04-30|143.0|0|3.0|0|0.0|0
0|2020-05-01|155.0|0|4.0|0|0.0|0
0|2020-05-02|174.0|0|4.0|0|0.0|0
0|2020-05-03|186.0|0|4.0|0|0.0|0
0|2020-05-04|195.0|0|4.0|0|0.0|0
0|2020-05-05|206.0|0|4.0|0|0.0|0
0|2020-05-06|206.0|0|4.0|0|0.0|0
0|2020-05-07|230.0|0|4.0|0|0.0|0
0|2020-05-08|233.0|0|4.0|0|0.0|0
0|2020-05-09|239.0|0|4.0|0|0.0|0
0|2020-05-10|248.0|0|4.0|0|0.0|0
0|2020-05-11|248.0|0|4.0|0|0.0|0
0|2020-05-12|261.0|0|4.0|0|0.0|0
0|2020-05-13|270.0|0|4.0|0|0.0|0
