|dates|WallaWalla_Washington_UnitedStates.JHU_ConfirmedCases.data|WallaWalla_Washington_UnitedStates.JHU_ConfirmedCases.missing|WallaWalla_Washington_UnitedStates.JHU_ConfirmedDeaths.data|WallaWalla_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|WallaWalla_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|WallaWalla_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|3.0|0|0.0|0|0.0|0
0|2020-03-28|5.0|0|0.0|0|0.0|0
0|2020-03-29|6.0|0|0.0|0|0.0|0
0|2020-03-30|7.0|0|0.0|0|0.0|0
0|2020-03-31|7.0|0|0.0|0|0.0|0
0|2020-04-01|8.0|0|0.0|0|0.0|0
0|2020-04-02|9.0|0|0.0|0|0.0|0
0|2020-04-03|9.0|0|0.0|0|0.0|0
0|2020-04-04|9.0|0|0.0|0|0.0|0
0|2020-04-05|10.0|0|0.0|0|0.0|0
0|2020-04-06|13.0|0|0.0|0|0.0|0
0|2020-04-07|14.0|0|0.0|0|0.0|0
0|2020-04-08|17.0|0|0.0|0|0.0|0
0|2020-04-09|18.0|0|0.0|0|0.0|0
0|2020-04-10|18.0|0|0.0|0|0.0|0
0|2020-04-11|21.0|0|0.0|0|0.0|0
0|2020-04-12|22.0|0|0.0|0|0.0|0
0|2020-04-13|22.0|0|0.0|0|0.0|0
0|2020-04-14|22.0|0|0.0|0|0.0|0
0|2020-04-15|24.0|0|0.0|0|0.0|0
0|2020-04-16|27.0|0|0.0|0|0.0|0
0|2020-04-17|27.0|0|0.0|0|0.0|0
0|2020-04-18|28.0|0|0.0|0|0.0|0
0|2020-04-19|28.0|0|0.0|0|0.0|0
0|2020-04-20|34.0|0|0.0|0|0.0|0
0|2020-04-21|34.0|0|0.0|0|0.0|0
0|2020-04-22|35.0|0|0.0|0|0.0|0
0|2020-04-23|42.0|0|0.0|0|0.0|0
0|2020-04-24|49.0|0|0.0|0|0.0|0
0|2020-04-25|51.0|0|0.0|0|0.0|0
0|2020-04-26|53.0|0|0.0|0|0.0|0
0|2020-04-27|56.0|0|0.0|0|0.0|0
0|2020-04-28|58.0|0|0.0|0|0.0|0
0|2020-04-29|63.0|0|0.0|0|0.0|0
0|2020-04-30|68.0|0|0.0|0|0.0|0
0|2020-05-01|77.0|0|0.0|0|0.0|0
0|2020-05-02|88.0|0|0.0|0|0.0|0
0|2020-05-03|89.0|0|0.0|0|0.0|0
0|2020-05-04|93.0|0|0.0|0|0.0|0
0|2020-05-05|94.0|0|0.0|0|0.0|0
0|2020-05-06|97.0|0|0.0|0|0.0|0
0|2020-05-07|98.0|0|0.0|0|0.0|0
0|2020-05-08|98.0|0|0.0|0|0.0|0
0|2020-05-09|100.0|0|2.0|0|0.0|0
0|2020-05-10|100.0|0|2.0|0|0.0|0
0|2020-05-11|100.0|0|2.0|0|0.0|0
0|2020-05-12|107.0|0|2.0|0|0.0|0
0|2020-05-13|106.0|0|2.0|0|0.0|0
