|dates|Hughes_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Hughes_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Hughes_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Hughes_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Hughes_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Hughes_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|2.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|3.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|4.0|0|0.0|0|0.0|0
0|2020-03-15|4.0|0|0.0|0|0.0|0
0|2020-03-16|10.0|0|0.0|0|0.0|0
0|2020-03-17|17.0|0|0.0|0|0.0|0
0|2020-03-18|17.0|0|0.0|0|0.0|0
0|2020-03-19|44.0|0|1.0|0|0.0|0
0|2020-03-20|49.0|0|1.0|0|0.0|0
0|2020-03-21|53.0|0|1.0|0|0.0|0
0|2020-03-22|67.0|0|2.0|0|0.0|0
0|2020-03-23|81.0|0|2.0|0|0.0|0
0|2020-03-24|106.0|0|3.0|0|0.0|0
0|2020-03-25|164.0|0|5.0|0|0.0|0
0|2020-03-26|248.0|0|7.0|0|0.0|0
0|2020-03-27|322.0|0|8.0|0|0.0|0
0|2020-03-28|377.0|0|15.0|0|0.0|0
0|2020-03-29|429.0|0|16.0|0|0.0|0
0|2020-03-30|481.0|0|16.0|0|0.0|0
0|2020-03-31|568.0|0|23.0|0|0.0|0
0|2020-04-01|721.0|0|30.0|0|0.0|0
0|2020-04-02|881.0|0|34.0|0|0.0|0
0|2020-04-03|990.0|0|38.0|0|0.0|0
0|2020-04-04|1162.0|0|42.0|0|0.0|0
0|2020-04-05|1254.0|0|46.0|0|0.0|0
0|2020-04-06|1329.0|0|51.0|0|0.0|0
0|2020-04-07|1474.0|0|67.0|0|0.0|0
0|2020-04-08|1526.0|0|79.0|0|0.0|0
0|2020-04-09|1686.0|0|80.0|0|0.0|0
0|2020-04-10|1794.0|0|88.0|0|0.0|0
0|2020-04-11|1868.0|0|94.0|0|0.0|0
0|2020-04-12|1970.0|0|96.0|0|0.0|0
0|2020-04-13|2069.0|0|99.0|0|0.0|0
0|2020-04-14|2184.0|0|108.0|0|0.0|0
0|2020-04-15|2263.0|0|123.0|0|0.0|0
0|2020-04-16|2357.0|0|131.0|0|0.0|0
0|2020-04-17|2465.0|0|136.0|0|0.0|0
0|2020-04-18|2465.0|0|136.0|0|0.0|0
0|2020-04-19|2596.0|0|140.0|0|0.0|0
0|2020-04-20|2680.0|0|143.0|0|0.0|0
0|2020-04-21|2807.0|0|164.0|0|0.0|0
0|2020-04-22|2894.0|0|170.0|0|0.0|0
0|2020-04-23|3017.0|0|179.0|0|0.0|0
0|2020-04-24|3121.0|0|188.0|0|0.0|0
0|2020-04-25|3194.0|0|194.0|0|0.0|0
0|2020-04-26|3254.0|0|195.0|0|0.0|0
0|2020-04-27|3281.0|0|197.0|0|0.0|0
0|2020-04-28|3410.0|0|207.0|0|0.0|0
0|2020-04-29|3473.0|0|214.0|0|0.0|0
0|2020-04-30|3618.0|0|222.0|0|0.0|0
0|2020-05-01|3748.0|0|230.0|0|0.0|0
0|2020-05-02|3851.0|0|238.0|0|0.0|0
0|2020-05-03|3972.0|0|238.0|0|0.0|0
0|2020-05-04|4044.0|0|238.0|0|0.0|0
0|2020-05-05|4127.0|0|247.0|0|0.0|0
0|2020-05-06|4127.0|0|247.0|0|0.0|0
0|2020-05-07|4127.0|0|247.0|0|0.0|0
0|2020-05-08|4127.0|0|247.0|0|0.0|0
0|2020-05-09|4127.0|0|247.0|0|0.0|0
0|2020-05-10|4127.0|0|247.0|0|0.0|0
0|2020-05-11|4127.0|0|247.0|0|0.0|0
0|2020-05-12|4127.0|0|247.0|0|0.0|0
0|2020-05-13|4127.0|0|247.0|0|0.0|0
