|dates|Stearns_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Stearns_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Stearns_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Stearns_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Stearns_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Stearns_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|5.0|0|0.0|0|0.0|0
0|2020-03-26|5.0|0|0.0|0|0.0|0
0|2020-03-27|5.0|0|0.0|0|0.0|0
0|2020-03-28|5.0|0|0.0|0|0.0|0
0|2020-03-29|5.0|0|0.0|0|0.0|0
0|2020-03-30|5.0|0|0.0|0|0.0|0
0|2020-03-31|5.0|0|0.0|0|0.0|0
0|2020-04-01|5.0|0|0.0|0|0.0|0
0|2020-04-02|5.0|0|0.0|0|0.0|0
0|2020-04-03|5.0|0|0.0|0|0.0|0
0|2020-04-04|6.0|0|0.0|0|0.0|0
0|2020-04-05|6.0|0|0.0|0|0.0|0
0|2020-04-06|6.0|0|0.0|0|0.0|0
0|2020-04-07|6.0|0|0.0|0|0.0|0
0|2020-04-08|7.0|0|0.0|0|0.0|0
0|2020-04-09|7.0|0|0.0|0|0.0|0
0|2020-04-10|7.0|0|0.0|0|0.0|0
0|2020-04-11|7.0|0|0.0|0|0.0|0
0|2020-04-12|7.0|0|0.0|0|0.0|0
0|2020-04-13|7.0|0|0.0|0|0.0|0
0|2020-04-14|7.0|0|0.0|0|0.0|0
0|2020-04-15|7.0|0|0.0|0|0.0|0
0|2020-04-16|7.0|0|0.0|0|0.0|0
0|2020-04-17|14.0|0|0.0|0|0.0|0
0|2020-04-18|16.0|0|0.0|0|0.0|0
0|2020-04-19|16.0|0|0.0|0|0.0|0
0|2020-04-20|17.0|0|0.0|0|0.0|0
0|2020-04-21|18.0|0|0.0|0|0.0|0
0|2020-04-22|20.0|0|0.0|0|0.0|0
0|2020-04-23|25.0|0|0.0|0|0.0|0
0|2020-04-24|33.0|0|0.0|0|0.0|0
0|2020-04-25|38.0|0|0.0|0|0.0|0
0|2020-04-26|38.0|0|0.0|0|0.0|0
0|2020-04-27|55.0|0|0.0|0|0.0|0
0|2020-04-28|86.0|0|0.0|0|0.0|0
0|2020-04-29|166.0|0|0.0|0|0.0|0
0|2020-04-30|267.0|0|0.0|0|0.0|0
0|2020-05-01|435.0|0|0.0|0|0.0|0
0|2020-05-02|531.0|0|0.0|0|0.0|0
0|2020-05-03|589.0|0|0.0|0|0.0|0
0|2020-05-04|728.0|0|2.0|0|0.0|0
0|2020-05-05|815.0|0|2.0|0|0.0|0
0|2020-05-06|975.0|0|3.0|0|0.0|0
0|2020-05-07|1161.0|0|4.0|0|0.0|0
0|2020-05-08|1274.0|0|4.0|0|0.0|0
0|2020-05-09|1348.0|0|5.0|0|0.0|0
0|2020-05-10|1405.0|0|5.0|0|0.0|0
0|2020-05-11|1405.0|0|5.0|0|0.0|0
0|2020-05-12|1512.0|0|6.0|0|0.0|0
0|2020-05-13|1558.0|0|7.0|0|0.0|0
