|dates|NewYorkCity_NewYork_UnitedStates.JHU_ConfirmedCases.data|NewYorkCity_NewYork_UnitedStates.JHU_ConfirmedCases.missing|NewYorkCity_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|NewYorkCity_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|NewYorkCity_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|NewYorkCity_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|1.0|0|0.0|0|0.0|0
0|2020-03-03|1.0|0|0.0|0|0.0|0
0|2020-03-04|1.0|0|0.0|0|0.0|0
0|2020-03-05|4.0|0|0.0|0|0.0|0
0|2020-03-06|11.0|0|0.0|0|0.0|0
0|2020-03-07|11.0|0|0.0|0|0.0|0
0|2020-03-08|12.0|0|0.0|0|0.0|0
0|2020-03-09|19.0|0|0.0|0|0.0|0
0|2020-03-10|25.0|0|0.0|0|0.0|0
0|2020-03-11|55.0|0|0.0|0|0.0|0
0|2020-03-12|95.0|0|0.0|0|0.0|0
0|2020-03-13|154.0|0|0.0|0|0.0|0
0|2020-03-14|269.0|0|1.0|0|0.0|0
0|2020-03-15|269.0|0|1.0|0|0.0|0
0|2020-03-16|463.0|0|7.0|0|0.0|0
0|2020-03-17|814.0|0|7.0|0|0.0|0
0|2020-03-18|1871.0|0|11.0|0|0.0|0
0|2020-03-19|3954.0|0|26.0|0|0.0|0
0|2020-03-20|5151.0|0|29.0|0|0.0|0
0|2020-03-21|7530.0|0|45.0|0|0.0|0
0|2020-03-22|9654.0|0|63.0|0|0.0|0
0|2020-03-23|12305.0|0|99.0|0|0.0|0
0|2020-03-24|14904.0|0|131.0|0|0.0|0
0|2020-03-25|17856.0|0|199.0|0|0.0|0
0|2020-03-26|21873.0|0|281.0|0|0.0|0
0|2020-03-27|25573.0|0|366.0|0|0.0|0
0|2020-03-28|29776.0|0|517.0|0|0.0|0
0|2020-03-29|33768.0|0|678.0|0|0.0|0
0|2020-03-30|37453.0|0|790.0|0|0.0|0
0|2020-03-31|43119.0|0|932.0|0|0.0|0
0|2020-04-01|47439.0|0|1139.0|0|0.0|0
0|2020-04-02|51809.0|0|1397.0|0|0.0|0
0|2020-04-03|57159.0|0|1584.0|0|0.0|0
0|2020-04-04|63306.0|0|1905.0|0|0.0|0
0|2020-04-05|67551.0|0|2256.0|0|0.0|0
0|2020-04-06|72181.0|0|3485.0|0|0.0|0
0|2020-04-07|76876.0|0|4009.0|0|0.0|0
0|2020-04-08|81803.0|0|4571.0|0|0.0|0
0|2020-04-09|87028.0|0|5150.0|0|0.0|0
0|2020-04-10|92384.0|0|5820.0|0|0.0|0
0|2020-04-11|98308.0|0|6367.0|0|0.0|0
0|2020-04-12|103208.0|0|6898.0|0|0.0|0
0|2020-04-13|106763.0|0|7349.0|0|0.0|0
0|2020-04-14|110465.0|0|7905.0|0|0.0|0
0|2020-04-15|118302.0|0|8455.0|0|0.0|0
0|2020-04-16|123146.0|0|11477.0|0|0.0|0
0|2020-04-17|127352.0|0|13202.0|0|0.0|0
0|2020-04-18|135572.0|0|13202.0|0|0.0|0
0|2020-04-19|138700.0|0|14451.0|0|0.0|0
0|2020-04-20|141235.0|0|14604.0|0|0.0|0
0|2020-04-21|144190.0|0|14887.0|0|0.0|0
0|2020-04-22|147297.0|0|15074.0|0|0.0|0
0|2020-04-23|145855.0|0|16388.0|0|0.0|0
0|2020-04-24|150473.0|0|16646.0|0|0.0|0
0|2020-04-25|155113.0|0|17126.0|0|0.0|0
0|2020-04-26|158258.0|0|17280.0|0|0.0|0
0|2020-04-27|160489.0|0|17515.0|0|0.0|0
0|2020-04-28|162338.0|0|17682.0|0|0.0|0
0|2020-04-29|164841.0|0|18076.0|0|0.0|0
0|2020-04-30|167478.0|0|18069.0|0|0.0|0
0|2020-05-01|169690.0|0|18399.0|0|0.0|0
0|2020-05-02|172354.0|0|18491.0|0|0.0|0
0|2020-05-03|174331.0|0|18925.0|0|0.0|0
0|2020-05-04|175651.0|0|19057.0|0|0.0|0
0|2020-05-05|176874.0|0|19067.0|0|0.0|0
0|2020-05-06|178351.0|0|19174.0|0|0.0|0
0|2020-05-07|180216.0|0|19626.0|0|0.0|0
0|2020-05-08|181783.0|0|19561.0|0|0.0|0
0|2020-05-09|183289.0|0|19818.0|0|0.0|0
0|2020-05-10|184417.0|0|19789.0|0|0.0|0
0|2020-05-11|184417.0|0|19789.0|0|0.0|0
0|2020-05-12|186123.0|0|20237.0|0|0.0|0
0|2020-05-13|187250.0|0|20316.0|0|0.0|0
