|dates|Mountrail_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Mountrail_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Mountrail_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Mountrail_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Mountrail_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Mountrail_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|0.0|0|0.0|0
0|2020-03-28|2.0|0|0.0|0|0.0|0
0|2020-03-29|2.0|0|0.0|0|0.0|0
0|2020-03-30|4.0|0|0.0|0|0.0|0
0|2020-03-31|5.0|0|0.0|0|0.0|0
0|2020-04-01|6.0|0|0.0|0|0.0|0
0|2020-04-02|8.0|0|0.0|0|0.0|0
0|2020-04-03|11.0|0|0.0|0|0.0|0
0|2020-04-04|13.0|0|0.0|0|0.0|0
0|2020-04-05|19.0|0|0.0|0|0.0|0
0|2020-04-06|19.0|0|0.0|0|0.0|0
0|2020-04-07|20.0|0|0.0|0|0.0|0
0|2020-04-08|20.0|0|0.0|0|0.0|0
0|2020-04-09|20.0|0|0.0|0|0.0|0
0|2020-04-10|20.0|0|0.0|0|0.0|0
0|2020-04-11|21.0|0|0.0|0|0.0|0
0|2020-04-12|21.0|0|0.0|0|0.0|0
0|2020-04-13|27.0|0|0.0|0|0.0|0
0|2020-04-14|27.0|0|0.0|0|0.0|0
0|2020-04-15|29.0|0|0.0|0|0.0|0
0|2020-04-16|29.0|0|0.0|0|0.0|0
0|2020-04-17|29.0|0|0.0|0|0.0|0
0|2020-04-18|29.0|0|0.0|0|0.0|0
0|2020-04-19|30.0|0|0.0|0|0.0|0
0|2020-04-20|30.0|0|0.0|0|0.0|0
0|2020-04-21|31.0|0|0.0|0|0.0|0
0|2020-04-22|31.0|0|0.0|0|0.0|0
0|2020-04-23|33.0|0|0.0|0|0.0|0
0|2020-04-24|33.0|0|0.0|0|0.0|0
0|2020-04-25|33.0|0|0.0|0|0.0|0
0|2020-04-26|33.0|0|0.0|0|0.0|0
0|2020-04-27|34.0|0|0.0|0|0.0|0
0|2020-04-28|35.0|0|0.0|0|0.0|0
0|2020-04-29|35.0|0|0.0|0|0.0|0
0|2020-04-30|35.0|0|0.0|0|0.0|0
0|2020-05-01|35.0|0|0.0|0|0.0|0
0|2020-05-02|35.0|0|0.0|0|0.0|0
0|2020-05-03|35.0|0|0.0|0|0.0|0
0|2020-05-04|35.0|0|0.0|0|0.0|0
0|2020-05-05|35.0|0|0.0|0|0.0|0
0|2020-05-06|36.0|0|0.0|0|0.0|0
0|2020-05-07|35.0|0|0.0|0|0.0|0
0|2020-05-08|37.0|0|0.0|0|0.0|0
0|2020-05-09|37.0|0|0.0|0|0.0|0
0|2020-05-10|37.0|0|0.0|0|0.0|0
0|2020-05-11|37.0|0|0.0|0|0.0|0
0|2020-05-12|37.0|0|0.0|0|0.0|0
0|2020-05-13|37.0|0|0.0|0|0.0|0
