|dates|Adams_Colorado_UnitedStates.JHU_ConfirmedCases.data|Adams_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Adams_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Adams_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Adams_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Adams_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|6.0|0|0.0|0|0.0|0
0|2020-03-15|6.0|0|0.0|0|0.0|0
0|2020-03-16|6.0|0|0.0|0|0.0|0
0|2020-03-17|6.0|0|0.0|0|0.0|0
0|2020-03-18|10.0|0|0.0|0|0.0|0
0|2020-03-19|10.0|0|0.0|0|0.0|0
0|2020-03-20|12.0|0|0.0|0|0.0|0
0|2020-03-21|14.0|0|0.0|0|0.0|0
0|2020-03-22|18.0|0|0.0|0|0.0|0
0|2020-03-23|18.0|0|0.0|0|0.0|0
0|2020-03-24|25.0|0|0.0|0|0.0|0
0|2020-03-25|27.0|0|0.0|0|0.0|0
0|2020-03-26|50.0|0|0.0|0|0.0|0
0|2020-03-27|50.0|0|0.0|0|0.0|0
0|2020-03-28|71.0|0|0.0|0|0.0|0
0|2020-03-29|110.0|0|0.0|0|0.0|0
0|2020-03-30|110.0|0|0.0|0|0.0|0
0|2020-03-31|181.0|0|2.0|0|0.0|0
0|2020-04-01|181.0|0|2.0|0|0.0|0
0|2020-04-02|212.0|0|2.0|0|0.0|0
0|2020-04-03|260.0|0|7.0|0|0.0|0
0|2020-04-04|294.0|0|9.0|0|0.0|0
0|2020-04-05|354.0|0|10.0|0|0.0|0
0|2020-04-06|367.0|0|12.0|0|0.0|0
0|2020-04-07|388.0|0|12.0|0|0.0|0
0|2020-04-08|417.0|0|14.0|0|0.0|0
0|2020-04-09|417.0|0|14.0|0|0.0|0
0|2020-04-10|475.0|0|14.0|0|0.0|0
0|2020-04-11|543.0|0|23.0|0|0.0|0
0|2020-04-12|647.0|0|26.0|0|0.0|0
0|2020-04-13|693.0|0|26.0|0|0.0|0
0|2020-04-14|726.0|0|27.0|0|0.0|0
0|2020-04-15|726.0|0|27.0|0|0.0|0
0|2020-04-16|758.0|0|28.0|0|0.0|0
0|2020-04-17|805.0|0|29.0|0|0.0|0
0|2020-04-18|860.0|0|31.0|0|0.0|0
0|2020-04-19|915.0|0|35.0|0|0.0|0
0|2020-04-20|915.0|0|35.0|0|0.0|0
0|2020-04-21|996.0|0|46.0|0|0.0|0
0|2020-04-22|1033.0|0|46.0|0|0.0|0
0|2020-04-23|1082.0|0|50.0|0|0.0|0
0|2020-04-24|1252.0|0|57.0|0|0.0|0
0|2020-04-25|1302.0|0|57.0|0|0.0|0
0|2020-04-26|1348.0|0|58.0|0|0.0|0
0|2020-04-27|1391.0|0|60.0|0|0.0|0
0|2020-04-28|1430.0|0|61.0|0|0.0|0
0|2020-04-29|1490.0|0|62.0|0|0.0|0
0|2020-04-30|1585.0|0|63.0|0|0.0|0
0|2020-05-01|1665.0|0|68.0|0|0.0|0
0|2020-05-02|1730.0|0|68.0|0|0.0|0
0|2020-05-03|1780.0|0|68.0|0|0.0|0
0|2020-05-04|1815.0|0|68.0|0|0.0|0
0|2020-05-05|1883.0|0|72.0|0|0.0|0
0|2020-05-06|1952.0|0|75.0|0|0.0|0
0|2020-05-07|2046.0|0|78.0|0|0.0|0
0|2020-05-08|2117.0|0|80.0|0|0.0|0
0|2020-05-09|2205.0|0|81.0|0|0.0|0
0|2020-05-10|2242.0|0|81.0|0|0.0|0
0|2020-05-11|2242.0|0|81.0|0|0.0|0
0|2020-05-12|2322.0|0|84.0|0|0.0|0
0|2020-05-13|2374.0|0|86.0|0|0.0|0
