|dates|SanLuisObispo_California_UnitedStates.JHU_ConfirmedCases.data|SanLuisObispo_California_UnitedStates.JHU_ConfirmedCases.missing|SanLuisObispo_California_UnitedStates.JHU_ConfirmedDeaths.data|SanLuisObispo_California_UnitedStates.JHU_ConfirmedDeaths.missing|SanLuisObispo_California_UnitedStates.JHU_ConfirmedRecoveries.data|SanLuisObispo_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|7.0|0|0.0|0|0.0|0
0|2020-03-19|13.0|0|0.0|0|0.0|0
0|2020-03-20|16.0|0|0.0|0|0.0|0
0|2020-03-21|21.0|0|0.0|0|0.0|0
0|2020-03-22|27.0|0|0.0|0|0.0|0
0|2020-03-23|27.0|0|0.0|0|0.0|0
0|2020-03-24|42.0|0|0.0|0|0.0|0
0|2020-03-25|46.0|0|0.0|0|0.0|0
0|2020-03-26|54.0|0|0.0|0|0.0|0
0|2020-03-27|59.0|0|0.0|0|0.0|0
0|2020-03-28|67.0|0|0.0|0|0.0|0
0|2020-03-29|67.0|0|0.0|0|0.0|0
0|2020-03-30|71.0|0|0.0|0|0.0|0
0|2020-03-31|80.0|0|0.0|0|0.0|0
0|2020-04-01|80.0|0|0.0|0|0.0|0
0|2020-04-02|89.0|0|0.0|0|0.0|0
0|2020-04-03|93.0|0|0.0|0|0.0|0
0|2020-04-04|93.0|0|0.0|0|0.0|0
0|2020-04-05|95.0|0|1.0|0|0.0|0
0|2020-04-06|95.0|0|1.0|0|0.0|0
0|2020-04-07|95.0|0|1.0|0|0.0|0
0|2020-04-08|99.0|0|1.0|0|0.0|0
0|2020-04-09|102.0|0|1.0|0|0.0|0
0|2020-04-10|104.0|0|1.0|0|0.0|0
0|2020-04-11|110.0|0|1.0|0|0.0|0
0|2020-04-12|114.0|0|1.0|0|0.0|0
0|2020-04-13|117.0|0|1.0|0|0.0|0
0|2020-04-14|117.0|0|1.0|0|0.0|0
0|2020-04-15|120.0|0|1.0|0|0.0|0
0|2020-04-16|125.0|0|1.0|0|0.0|0
0|2020-04-17|127.0|0|1.0|0|0.0|0
0|2020-04-18|131.0|0|1.0|0|0.0|0
0|2020-04-19|132.0|0|1.0|0|0.0|0
0|2020-04-20|132.0|0|1.0|0|0.0|0
0|2020-04-21|134.0|0|1.0|0|0.0|0
0|2020-04-22|134.0|0|1.0|0|0.0|0
0|2020-04-23|149.0|0|1.0|0|0.0|0
0|2020-04-24|163.0|0|1.0|0|0.0|0
0|2020-04-25|165.0|0|1.0|0|0.0|0
0|2020-04-26|166.0|0|1.0|0|0.0|0
0|2020-04-27|169.0|0|1.0|0|0.0|0
0|2020-04-28|173.0|0|1.0|0|0.0|0
0|2020-04-29|181.0|0|1.0|0|0.0|0
0|2020-04-30|184.0|0|1.0|0|0.0|0
0|2020-05-01|188.0|0|1.0|0|0.0|0
0|2020-05-02|196.0|0|1.0|0|0.0|0
0|2020-05-03|201.0|0|1.0|0|0.0|0
0|2020-05-04|202.0|0|1.0|0|0.0|0
0|2020-05-05|204.0|0|1.0|0|0.0|0
0|2020-05-06|208.0|0|1.0|0|0.0|0
0|2020-05-07|211.0|0|1.0|0|0.0|0
0|2020-05-08|211.0|0|1.0|0|0.0|0
0|2020-05-09|214.0|0|1.0|0|0.0|0
0|2020-05-10|220.0|0|1.0|0|0.0|0
0|2020-05-11|220.0|0|1.0|0|0.0|0
0|2020-05-12|227.0|0|1.0|0|0.0|0
0|2020-05-13|232.0|0|1.0|0|0.0|0
