|dates|Antrim_Michigan_UnitedStates.JHU_ConfirmedCases.data|Antrim_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Antrim_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Antrim_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Antrim_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Antrim_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|0.0|0|0.0|0
0|2020-03-28|0.0|0|0.0|0|0.0|0
0|2020-03-29|0.0|0|0.0|0|0.0|0
0|2020-03-30|2.0|0|0.0|0|0.0|0
0|2020-03-31|3.0|0|0.0|0|0.0|0
0|2020-04-01|4.0|0|0.0|0|0.0|0
0|2020-04-02|4.0|0|0.0|0|0.0|0
0|2020-04-03|4.0|0|0.0|0|0.0|0
0|2020-04-04|4.0|0|0.0|0|0.0|0
0|2020-04-05|4.0|0|0.0|0|0.0|0
0|2020-04-06|5.0|0|0.0|0|0.0|0
0|2020-04-07|6.0|0|0.0|0|0.0|0
0|2020-04-08|6.0|0|0.0|0|0.0|0
0|2020-04-09|6.0|0|0.0|0|0.0|0
0|2020-04-10|6.0|0|0.0|0|0.0|0
0|2020-04-11|7.0|0|0.0|0|0.0|0
0|2020-04-12|8.0|0|0.0|0|0.0|0
0|2020-04-13|8.0|0|0.0|0|0.0|0
0|2020-04-14|8.0|0|0.0|0|0.0|0
0|2020-04-15|9.0|0|0.0|0|0.0|0
0|2020-04-16|9.0|0|0.0|0|0.0|0
0|2020-04-17|8.0|0|0.0|0|0.0|0
0|2020-04-18|8.0|0|0.0|0|0.0|0
0|2020-04-19|9.0|0|0.0|0|0.0|0
0|2020-04-20|9.0|0|0.0|0|0.0|0
0|2020-04-21|9.0|0|0.0|0|0.0|0
0|2020-04-22|9.0|0|0.0|0|0.0|0
0|2020-04-23|9.0|0|0.0|0|0.0|0
0|2020-04-24|9.0|0|0.0|0|0.0|0
0|2020-04-25|10.0|0|0.0|0|0.0|0
0|2020-04-26|10.0|0|0.0|0|0.0|0
0|2020-04-27|9.0|0|0.0|0|0.0|0
0|2020-04-28|9.0|0|0.0|0|0.0|0
0|2020-04-29|10.0|0|0.0|0|0.0|0
0|2020-04-30|10.0|0|0.0|0|0.0|0
0|2020-05-01|10.0|0|0.0|0|0.0|0
0|2020-05-02|10.0|0|0.0|0|0.0|0
0|2020-05-03|10.0|0|0.0|0|0.0|0
0|2020-05-04|10.0|0|0.0|0|0.0|0
0|2020-05-05|10.0|0|0.0|0|0.0|0
0|2020-05-06|10.0|0|0.0|0|0.0|0
0|2020-05-07|10.0|0|0.0|0|0.0|0
0|2020-05-08|10.0|0|0.0|0|0.0|0
0|2020-05-09|10.0|0|0.0|0|0.0|0
0|2020-05-10|10.0|0|0.0|0|0.0|0
0|2020-05-11|10.0|0|0.0|0|0.0|0
0|2020-05-12|10.0|0|0.0|0|0.0|0
0|2020-05-13|10.0|0|0.0|0|0.0|0
