|dates|Cabarrus_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Cabarrus_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Cabarrus_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Cabarrus_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Cabarrus_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Cabarrus_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|5.0|0|0.0|0|0.0|0
0|2020-03-22|6.0|0|0.0|0|0.0|0
0|2020-03-23|6.0|0|0.0|0|0.0|0
0|2020-03-24|10.0|0|0.0|0|0.0|0
0|2020-03-25|12.0|0|1.0|0|0.0|0
0|2020-03-26|18.0|0|2.0|0|0.0|0
0|2020-03-27|22.0|0|2.0|0|0.0|0
0|2020-03-28|31.0|0|2.0|0|0.0|0
0|2020-03-29|32.0|0|2.0|0|0.0|0
0|2020-03-30|38.0|0|1.0|0|0.0|0
0|2020-03-31|47.0|0|1.0|0|0.0|0
0|2020-04-01|47.0|0|1.0|0|0.0|0
0|2020-04-02|50.0|0|1.0|0|0.0|0
0|2020-04-03|58.0|0|1.0|0|0.0|0
0|2020-04-04|65.0|0|1.0|0|0.0|0
0|2020-04-05|69.0|0|1.0|0|0.0|0
0|2020-04-06|76.0|0|1.0|0|0.0|0
0|2020-04-07|81.0|0|1.0|0|0.0|0
0|2020-04-08|88.0|0|1.0|0|0.0|0
0|2020-04-09|88.0|0|1.0|0|0.0|0
0|2020-04-10|94.0|0|1.0|0|0.0|0
0|2020-04-11|107.0|0|1.0|0|0.0|0
0|2020-04-12|117.0|0|1.0|0|0.0|0
0|2020-04-13|165.0|0|1.0|0|0.0|0
0|2020-04-14|190.0|0|3.0|0|0.0|0
0|2020-04-15|204.0|0|3.0|0|0.0|0
0|2020-04-16|204.0|0|3.0|0|0.0|0
0|2020-04-17|207.0|0|4.0|0|0.0|0
0|2020-04-18|207.0|0|4.0|0|0.0|0
0|2020-04-19|208.0|0|4.0|0|0.0|0
0|2020-04-20|212.0|0|7.0|0|0.0|0
0|2020-04-21|223.0|0|7.0|0|0.0|0
0|2020-04-22|232.0|0|7.0|0|0.0|0
0|2020-04-23|236.0|0|7.0|0|0.0|0
0|2020-04-24|249.0|0|8.0|0|0.0|0
0|2020-04-25|249.0|0|8.0|0|0.0|0
0|2020-04-26|261.0|0|8.0|0|0.0|0
0|2020-04-27|264.0|0|9.0|0|0.0|0
0|2020-04-28|275.0|0|10.0|0|0.0|0
0|2020-04-29|275.0|0|10.0|0|0.0|0
0|2020-04-30|303.0|0|11.0|0|0.0|0
0|2020-05-01|308.0|0|11.0|0|0.0|0
0|2020-05-02|310.0|0|12.0|0|0.0|0
0|2020-05-03|313.0|0|12.0|0|0.0|0
0|2020-05-04|317.0|0|13.0|0|0.0|0
0|2020-05-05|320.0|0|15.0|0|0.0|0
0|2020-05-06|326.0|0|16.0|0|0.0|0
0|2020-05-07|333.0|0|17.0|0|0.0|0
0|2020-05-08|338.0|0|17.0|0|0.0|0
0|2020-05-09|341.0|0|17.0|0|0.0|0
0|2020-05-10|352.0|0|17.0|0|0.0|0
0|2020-05-11|352.0|0|17.0|0|0.0|0
0|2020-05-12|356.0|0|18.0|0|0.0|0
0|2020-05-13|361.0|0|18.0|0|0.0|0
