|dates|Pike_Alabama_UnitedStates.JHU_ConfirmedCases.data|Pike_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Pike_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Pike_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Pike_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Pike_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|2.0|0|0.0|0|0.0|0
0|2020-03-27|2.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|4.0|0|0.0|0|0.0|0
0|2020-03-30|4.0|0|0.0|0|0.0|0
0|2020-03-31|4.0|0|0.0|0|0.0|0
0|2020-04-01|5.0|0|0.0|0|0.0|0
0|2020-04-02|7.0|0|0.0|0|0.0|0
0|2020-04-03|10.0|0|0.0|0|0.0|0
0|2020-04-04|10.0|0|0.0|0|0.0|0
0|2020-04-05|14.0|0|0.0|0|0.0|0
0|2020-04-06|14.0|0|0.0|0|0.0|0
0|2020-04-07|14.0|0|0.0|0|0.0|0
0|2020-04-08|16.0|0|0.0|0|0.0|0
0|2020-04-09|17.0|0|0.0|0|0.0|0
0|2020-04-10|18.0|0|0.0|0|0.0|0
0|2020-04-11|18.0|0|0.0|0|0.0|0
0|2020-04-12|20.0|0|0.0|0|0.0|0
0|2020-04-13|21.0|0|0.0|0|0.0|0
0|2020-04-14|22.0|0|0.0|0|0.0|0
0|2020-04-15|24.0|0|0.0|0|0.0|0
0|2020-04-16|27.0|0|0.0|0|0.0|0
0|2020-04-17|29.0|0|0.0|0|0.0|0
0|2020-04-18|34.0|0|0.0|0|0.0|0
0|2020-04-19|37.0|0|0.0|0|0.0|0
0|2020-04-20|41.0|0|0.0|0|0.0|0
0|2020-04-21|46.0|0|0.0|0|0.0|0
0|2020-04-22|53.0|0|0.0|0|0.0|0
0|2020-04-23|57.0|0|0.0|0|0.0|0
0|2020-04-24|58.0|0|0.0|0|0.0|0
0|2020-04-25|58.0|0|0.0|0|0.0|0
0|2020-04-26|62.0|0|0.0|0|0.0|0
0|2020-04-27|65.0|0|0.0|0|0.0|0
0|2020-04-28|65.0|0|0.0|0|0.0|0
0|2020-04-29|67.0|0|0.0|0|0.0|0
0|2020-04-30|67.0|0|0.0|0|0.0|0
0|2020-05-01|69.0|0|0.0|0|0.0|0
0|2020-05-02|73.0|0|0.0|0|0.0|0
0|2020-05-03|75.0|0|0.0|0|0.0|0
0|2020-05-04|79.0|0|0.0|0|0.0|0
0|2020-05-05|82.0|0|0.0|0|0.0|0
0|2020-05-06|84.0|0|0.0|0|0.0|0
0|2020-05-07|85.0|0|0.0|0|0.0|0
0|2020-05-08|87.0|0|0.0|0|0.0|0
0|2020-05-09|89.0|0|0.0|0|0.0|0
0|2020-05-10|93.0|0|0.0|0|0.0|0
0|2020-05-11|93.0|0|0.0|0|0.0|0
0|2020-05-12|100.0|0|0.0|0|0.0|0
0|2020-05-13|102.0|0|0.0|0|0.0|0
